name,price,old_price,link,image,discount,phase,site
ST,R$ 471.62,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 471.68,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 471.68,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 483.05,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/chicken_capsule/nestegg_holo.7a152e213f9713a550dc00ca622e0360a760f29d.png,,,CS.Money
ST,R$ 483.05,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 483.05,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 483.05,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxgbs_0tlajihJ4PAd1c8aAvWrwXsx-q9h8fqvZTNmic2uylz5SqJlxypwUYbBM1DXmo,,,CS.Money
ST,R$ 852.43,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/london2018/tyl_holo.2312da6beace99caf05733f88646b47643fa4f41.png,,,CS.Money
ST,R$ 198Â 901.41,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/emskatowice2014/voxeminor_holo.3e4c7106b2ae31abc7d49b875177907ec9ffa2e3.png,,,CS.Money
MW,R$ 124Â 686.50,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1JmMR1osbaqPQJz7ODYfi9W9eOxhoWOmcj4OrzZgiUGvpEn3-yUp9usiVXtqEJsZ2nycIaWdlU8aFHT_AO5yOu6hMTuvJic1zI97ZFyOF04,,,CS.Money
